date,fed_funds,mortgage_30y,prime_rate
2004-01-01,3.245071229516849,6.197724957610107,6.245071229516849
2004-02-01,2.292603548243223,5.325972208440918,5.292603548243223
2004-03-01,3.4715328071510387,3.284504027236789,6.471532807151039
2004-04-01,4.784544784612038,4.112612741706998,7.784544784612038
2004-05-01,2.148769937914996,5.513528919349298,5.148769937914996
2004-06-01,2.148794564576229,3.9338644275049752,5.148794564576229
2004-07-01,4.868819223261087,4.855055542516983,7.868819223261087
2004-08-01,3.651152093729363,5.11970724274347,6.651152093729364
2004-09-01,1.7957884210975719,3.7584556227375336,4.795788421097572
2004-10-01,3.313840065378947,4.45237971515056,6.3138400653789475
2004-11-01,1.8048734607813066,2.5,4.804873460781307
2004-12-01,1.8014053696446148,3.680489886932568,4.801405369644614
2005-01-01,2.862943407349051,4.297945478885472,5.862943407349051
2005-02-01,0.1,3.5017734544281205,3.1
2005-03-01,0.1,5.8059290431453086,3.1
2005-04-01,1.656568706138541,3.3558868976314935,4.6565687061385415
2005-05-01,0.9807533194983642,4.1479644106424125,3.980753319498364
2005-06-01,2.971370998892911,4.604592461828873,5.971370998892911
2005-07-01,1.1379638867181836,5.653018631252893,4.137963886718183
2005-08-01,0.3815444479970629,3.3513102790564484,3.381544447997063
2005-09-01,4.698473153382331,5.430531001723968,7.698473153382331
2005-10-01,2.1613355492701967,4.508186448815669,5.161335549270197
2005-11-01,2.6012923070318856,3.7147930791616393,5.601292307031885
2005-12-01,0.3628777206798146,4.869682779410617,3.3628777206798146
2006-01-01,1.683425913212226,4.659247756458776,4.683425913212226
2006-02-01,2.666383884564799,4.019826498272964,5.666383884564799
2006-03-01,0.7735096338665457,4.5558416679920155,3.7735096338665457
2006-04-01,3.063547027518508,4.191749122510592,6.063547027518508
2006-05-01,1.5990419651217924,4.590813876200999,4.599041965121792
2006-06-01,2.062459375310085,5.029704539616837,5.062459375310085
2006-07-01,1.5974400816559047,5.768813452916282,4.597440081655905
2006-08-01,5.278417276763406,3.5097476009385207,8.278417276763406
2006-09-01,2.4797541628930992,6.2064266997250135,5.4797541628931
2006-10-01,0.9134336065661495,2.9383297603819987,3.9134336065661497
2006-11-01,3.7338173681547833,4.378571923971533,6.733817368154783
2006-12-01,0.6687345250434666,4.970653765187661,3.6687345250434666
2007-01-01,2.813295392507133,4.7247934941880265,5.813295392507133
2007-02-01,0.1,4.001840384143525,3.1
2007-03-01,0.5077209266523544,4.33350219971418,3.5077209266523544
2007-04-01,2.7952918538036853,4.105599252272934,5.795291853803685
2007-05-01,3.6076998699931155,4.028508194444631,6.607699869993116
2007-06-01,2.7570524217849557,5.17968167761682,5.757052421784955
2007-07-01,2.3265275764176394,4.785612388772038,5.326527576417639
2007-08-01,2.048344456616067,3.9456723237914764,5.048344456616067
2007-09-01,0.28221701444885916,5.2196799003466,3.282217014448859
2007-10-01,1.420233687407937,4.7458396167012875,4.420233687407937
2007-11-01,1.8090418435603186,5.150289695071168,4.809041843560319
2007-12-01,4.085683339328374,5.003703073538889,7.085683339328374
2008-01-01,3.0154274343526923,3.836803991262342,6.015427434352692
2008-02-01,0.1,4.051855167842424,3.1
2008-03-01,2.9861259540921923,5.097834884098609,5.986125954092192
2008-04-01,1.9223765793755252,4.988296212346772,4.922376579375525
2008-05-01,1.4846169995410619,4.483278724828682,4.484616999541062
2008-06-01,3.417514433261302,4.593861906647025,6.417514433261302
2008-07-01,4.046499283743927,5.52213191663074,7.046499283743927
2008-08-01,3.8969201786742977,4.026742888931336,6.896920178674298
2008-09-01,1.2411737151660422,4.93767790493603,4.241173715166042
2008-10-01,2.036181436223178,4.338245878052884,5.036181436223178
2008-11-01,2.996895147105346,4.325855037418224,5.996895147105346
2008-12-01,3.963317690683539,5.379021481589752,6.963317690683539
2009-01-01,1.781238643232065,5.160333079190424,4.781238643232065
2009-02-01,2.2215115350042742,5.150807708800511,5.221511535004274
2009-03-01,0.8404975389909577,5.544383045723463,3.8404975389909577
2009-04-01,0.7056900638789938,4.516803073306208,3.705690063878994
2009-05-01,3.718788733591297,5.045562377035971,6.718788733591297
2009-06-01,4.5343600428562345,4.251786594725235,7.5343600428562345
2009-07-01,2.391984817629499,4.7593330819907536,5.391984817629499
2009-08-01,4.0052993468380365,4.395885556505853,7.0052993468380365
2009-09-01,3.042454037571451,4.577596771994174,6.042454037571451
2009-10-01,1.5323203680923136,4.9761256203495305,4.532320368092313
2009-11-01,3.042093408262621,3.845423453413222,6.042093408262621
2009-12-01,4.807054849698954,6.173909820548368,7.807054849698954
2010-01-01,2.4462609413350727,3.6951860948002384,5.446260941335073
2010-02-01,4.846965483721009,3.5286491097698143,7.846965483721009
2010-03-01,0.1,5.426488698800054,3.1
2010-04-01,3.732853756562836,5.1333301551703485,6.732853756562836
2010-05-01,2.630570602357257,4.9992958536417245,5.630570602357257
2010-06-01,2.051488974301199,5.002676407411424,5.051488974301199
2010-07-01,2.6376411648032536,4.4902025817224684,5.637641164803254
2010-08-01,0.1,3.7821965028113347,3.1
2010-09-01,2.170492168243732,4.560643646554981,5.170492168243732
